Product,Number of Purchases
γάλα μη αποβουτυρωμένο,2502
άλλα λαχανικά,1897
ρολά/ψωμάκια,1717
σόδα,1514
γιαούρτι,1334
ριζώδη λαχανικά,1071
τροπικά φρούτα,1032
εμφιαλωμένο νερό,933
λουκάνικο,924
εσπεριδοειδή,812
ζύμη,785
φρούτα με κουκούτσι,744
τσάντες αγορών,731
κονσερβοποιημένη μπύρα,717
εμφιαλωμένη μπύρα,687
σαντιγί,662
εφημερίδες,596
λουκάνικο φρανκφούρτης,580
μαύρο ψωμί,571
χοιρινό,566
ντόπια αυγά,566
βούτυρο,534
χυμός φρούτων/λαχανικών,518
βοδινό κρέας,516
τυρόγαλο,514
μαργαρίνη,491
καφές,476
κατεψυγμένα λαχανικά,425
κοτόπουλο,422
τυρί κρέμα,404
άσπρο ψωμί,362
σοκολάτα,357
επιδόρπιο,356
χαρτοπετσέτες,335
μούρα,327
κρέας για μπέργκερ,327
γάλα μακράς διάρκειας,323
κρεμμύδια,305
αλμυρό σνακ,283
βάφλες,280
προϊόν αρτοποιίας μακράς διαρκείας,269
ζάχαρη,265
ξινόγαλο,263
ζαμπόν,256
κρέας,254
κατεψυγμένα γεύματα,252
ποτά,251
σοκολάτα ντελικατέσεν,240
διάφορα ποτά,238
παγωτό,227
λάδι,225
σταφύλια,220
σκληρό τυρί,220
καραμέλα,219
φέτες τυριού,212
ποτά ντελικατέσεν,210
προιόντα υγιεινής,208
τσίχλα,181
γατοτροφή,177
λευκό κρασί,176
βότανα,159
κόκκινο/ροζέ κρασί,157
μεταποιημένο τυρί,152
μαλακό τυρί,152
αλεύρι,146
ημιψημένο ψωμί,142
πιάτα,135
λαχανικά τουρσί,134
απορρυπαντικό,130
συσκευασμένα φρούτα/λαχανικά,128
μπέικιν πάουντερ,122
ζυμαρικά,121
γλάστρες,118
κονσερβοποιημένο ψάρι,116
εποχιακά προϊόντα,106
υγρό,103
κατεψυγμένα ψάρια,102
τυρί για άλειμμα,100
συμπυκνωμένο γάλα,98
μπάρα δημητριακών,93
μουστάρδα,92
παγωμένο επιδόρπιο,92
αλάτι,89
φροντίδα κατοικίδιου,85
προϊόντα σε ρολό,82
κονσερβοποιημένα λαχανικά,82
γαλοπούλα,80
φωτογραφία/ταινία,79
μαγιονέζα,75
μεμβράνη/σακούλες φαγητού,74
καθαριστικό πιάτων,73
κατεψυγμένα προϊόντα πατάτας,72
τυρί ντελικατέσεν,72
λουλούδια (σπόροι),70
γλυκά για άλειμμα,69
λικέρ (ορεκτικό),67
σκυλοτροφή,67
κεριά,66
ρούχα,64
στιγμιαίος καφές,61
παξιμάδι,60
σοκολάτα υγείας,60
έτοιμα προϊόντα διατροφής,60
ξύδι,51
συκώτι,50
ρύζι,49
σούπες,48
ποπ κορν,48
αφρώδες κρασί,46
προϊόντα οικιακής χρήσης,45
σάλτσες,44
δημητριακά,42
μαλακτικό,41
μπαχαρικά,40
γυναικεία είδη υγιεινής,40
κονιάκ,38
ανδρικά καλλυντικά,37
κρέας για άλειμμα,35
μαρμελάδα,34
ξηροί καρποί,33
οδοντιατρική φροντίδα,33
ρούμι,32
κέτσαπ,32
καθαριστικό,31
πετσέτες κουζίνας,30
λίπος ντελικατέσεν,29
ψάρι,29
τεχνητή γλυκαντική ουσία,29
λάμπες,29
τσάι,27
προϊόντα σνακ,27
προϊόντα πατάτας,23
μεζέδες,22
βιολογικό λουκάνικο,22
σνακ,22
διαβρωτικό/καθαριστικό,22
φρούτα σε κονσέρβα,21
σιρόπι,21
φροντίδα δέρματος,20
σαπούνι,20
κρασί prosecco,19
μαγειρικά σκεύη,17
καθαριστικό μπάνιου,17
πουτίγκα σε σκόνη,17
λίπασμα για λουλούδια,16
ποτά κακάου,16
έτοιμες σούπες,15
σοκολάτα κουβερτούρα,15
μέλι,13
κρέμα,12
κατεψυγμένα φρούτα,11
λαχανικά ντελικατέσεν,11
βιολογικά προϊόντα,10
αφαλατωτής,9
λικέρ,9
σπρέι μαλλιών,9
ουίσκι,8
σάλτσα σαλάτας,6
κατεψυγμένο κοτόπουλο,5
οινόπνευμα,5
αφαίρεση μακιγιάζ,5
καθαριστικό τουαλέτας,5
τσάντες,4
καλλυντικά για μωρά,3
κουζινικά,1
προϊόντα συντήρησης,1
