CustomerID,Date,Product
19229,21/07/23,Fruits
24437,05/01/23,Dairy Products
22673,19/09/23,Fruits
14882,12/12/23,Vegetables
27832,01/02/23,Dairy Products
41160,14/02/23,Pastries
38080,08/05/23,Vegetables
33194,23/12/23,Household and Cleaning Products
25907,20/03/23,Dairy Products
35406,12/02/23,Fruits
15953,24/02/23,Fruits
21924,14/04/23,Meat Products
20552,21/07/23,Meat Products
38395,03/09/23,Meat Products
39725,21/07/23,Dairy Products
20286,30/03/23,Non-Alcoholic Beverages
20391,03/05/23,Vegetables
23520,02/09/23,Snacks/Sweets
17164,03/08/23,Alcoholic Beverages
19908,07/07/23,Vegetables
26243,08/09/23,Dairy Products
26642,12/11/23,Dairy Products
34307,18/09/23,Fruits
14189,30/11/23,Fruits
41405,17/07/23,Non-Alcoholic Beverages
34965,12/06/23,Dairy Products
31850,13/02/23,Meat Products
16513,14/01/23,Vegetables
36575,08/03/23,Pastries
40999,27/01/23,Dairy Products
40054,22/10/23,Meat Products
32536,26/10/23,Vegetables
36596,08/10/23,Meat Products
17486,03/10/23,Meat Products
26873,11/04/23,Pastries
19908,21/02/23,Non-Alcoholic Beverages
31262,29/09/23,Alcoholic Beverages
17038,09/01/23,Vegetables
31479,03/04/23,Fruits
28469,20/04/23,Meat Products
19614,04/08/23,Fruits
33460,19/07/23,Fruits
33894,06/10/23,Alcoholic Beverages
25179,16/10/23,Dairy Products
36477,06/06/23,Non-Alcoholic Beverages
14413,26/09/23,Pastries
25305,15/08/23,Pastries
18452,21/05/23,Alcoholic Beverages
24122,25/08/23,Vegetables
38913,11/03/23,Meat Products
30128,01/02/23,Alcoholic Beverages
27419,05/06/23,Meat Products
26943,28/07/23,Meat Products
14000,05/09/23,Dairy Products
29505,03/04/23,Dairy Products
15855,19/06/23,Vegetables
27734,28/07/23,Pastries
21868,11/10/23,Meat Products
31437,16/06/23,Pastries
20342,20/01/23,Pastries
39529,20/03/23,Meat Products
26691,15/02/23,Meat Products
35812,13/04/23,Meat Products
18214,07/02/23,Pastries
24997,02/03/23,Dairy Products
