,CustomerID,Date,Product,Age
0,19229,21/07/23,Fruits,40
1,19229,04/02/23,Pastries,40
2,19229,29/11/22,Meat Products,40
3,19229,15/12/22,Cooking Ingredients,40
4,19229,21/07/23,Pastries,40
5,19229,04/02/23,Pastries,40
6,19229,29/11/22,Dairy Products,40
7,19229,15/12/22,Fruits,40
8,19229,21/07/23,Snacks/Sweets,40
9,19229,15/12/22,Household and Cleaning Products,40
10,24437,05/01/23,Dairy Products,33
11,24437,08/10/22,Dairy Products,33
12,24437,20/06/22,Personal Care Products,33
13,24437,11/07/22,Household and Cleaning Products,33
14,24437,19/02/22,Vegetables,33
15,24437,05/01/23,Fruits,33
16,24437,08/10/22,Vegetables,33
17,24437,20/06/22,Dairy Products,33
18,24437,11/07/22,Household and Cleaning Products,33
19,24437,19/02/22,Snacks/Sweets,33
20,24437,05/01/23,Snacks/Sweets,33
21,24437,11/07/22,Non-Alcoholic Beverages,33
22,24437,20/06/22,Household and Cleaning Products,33
23,22673,19/09/23,Fruits,35
24,22673,28/04/23,Meat Products,35
25,22673,05/08/23,Meat Products,35
26,22673,16/03/22,Meat Products,35
27,22673,19/09/23,Vegetables,35
28,22673,28/04/23,Alcoholic Beverages,35
29,22673,05/08/23,Pastries,35
30,22673,16/03/22,Non-Alcoholic Beverages,35
31,22673,19/09/23,Pastries,35
32,22673,28/04/23,Household and Cleaning Products,35
33,14882,12/12/23,Vegetables,29
34,14882,08/06/22,Non-Alcoholic Beverages,29
35,14882,09/11/22,Fruits,29
36,14882,12/12/23,Vegetables,29
37,14882,08/06/22,Non-Alcoholic Beverages,29
38,14882,09/11/22,Foods,29
39,14882,12/12/23,Household and Cleaning Products,29
40,27832,01/02/23,Dairy Products,53
41,27832,23/02/23,Household and Cleaning Products,53
42,27832,01/02/23,Vegetables,53
43,27832,23/02/23,Meat Products,53
44,27832,01/02/23,Pastries,53
45,41160,14/02/23,Pastries,62
46,41160,15/01/23,Pastries,62
47,41160,15/01/23,Alcoholic Beverages,62
48,41160,15/01/23,Alcoholic Beverages,62
49,41160,15/01/23,Meat Products,62
50,41160,09/09/22,Non-Alcoholic Beverages,62
51,41160,12/06/22,Dairy Products,62
52,41160,13/04/22,Household and Cleaning Products,62
53,41160,08/02/22,Dairy Products,62
54,41160,24/02/22,Alcoholic Beverages,62
55,41160,13/08/22,Meat Products,62
56,41160,14/02/23,Fruits,62
57,41160,15/01/23,Meat Products,62
58,41160,15/01/23,Vegetables,62
59,41160,15/01/23,Snacks/Sweets,62
60,41160,15/01/23,Foods,62
61,41160,09/09/22,Non-Alcoholic Beverages,62
62,41160,12/06/22,Alcoholic Beverages,62
63,41160,13/04/22,Miscellaneous,62
64,41160,08/02/22,Pastries,62
65,41160,24/02/22,Non-Alcoholic Beverages,62
66,41160,13/08/22,Dairy Products,62
67,41160,25/10/22,Pastries,62
68,41160,15/01/23,Non-Alcoholic Beverages,62
69,41160,14/02/23,Non-Alcoholic Beverages,62
70,41160,25/10/22,Snacks/Sweets,62
71,38080,08/05/23,Vegetables,44
72,38080,15/06/23,Vegetables,44
73,38080,26/03/23,Dairy Products,44
74,38080,15/06/23,Fruits,44
75,38080,01/10/22,Pastries,44
76,38080,08/09/22,Meat Products,44
77,38080,08/05/23,Non-Alcoholic Beverages,44
78,38080,15/06/23,Meat Products,44
79,38080,26/03/23,Fruits,44
80,38080,15/06/23,Non-Alcoholic Beverages,44
81,38080,01/10/22,Dairy Products,44
82,38080,08/09/22,Snacks/Sweets,44
83,38080,08/05/23,Household and Cleaning Products,44
84,33194,23/12/23,Household and Cleaning Products,61
85,33194,27/01/23,Snacks/Sweets,61
86,33194,06/10/23,Vegetables,61
87,33194,20/10/23,Meat Products,61
88,33194,14/12/23,Meat Products,61
89,33194,06/10/23,Non-Alcoholic Beverages,61
90,33194,20/10/23,Meat Products,61
91,33194,17/06/22,Dairy Products,61
92,33194,23/12/23,Fruits,61
93,33194,27/01/23,Fruits,61
94,33194,06/10/23,Fruits,61
95,33194,20/10/23,Fruits,61
96,33194,14/12/23,Cooking Ingredients,61
97,33194,06/10/23,Miscellaneous,61
98,33194,20/10/23,Vegetables,61
99,33194,17/06/22,Personal Care Products,61
100,33194,06/10/23,Snacks/Sweets,61
101,33194,23/12/23,Snacks/Sweets,61
102,33194,17/06/22,Pastries,61
103,25907,20/03/23,Dairy Products,27
104,25907,07/11/23,Household and Cleaning Products,27
105,25907,18/12/23,Snacks/Sweets,27
106,25907,27/10/22,Pastries,27
107,25907,20/03/23,Alcoholic Beverages,27
108,25907,07/11/23,Dairy Products,27
109,25907,18/12/23,Meat Products,27
110,25907,27/10/22,Alcoholic Beverages,27
111,25907,20/03/23,Miscellaneous,27
112,35406,12/02/23,Fruits,21
113,35406,09/05/23,Dairy Products,21
114,35406,15/04/23,Meat Products,21
115,35406,24/10/22,Dairy Products,21
116,35406,12/02/23,Fruits,21
117,35406,09/05/23,Vegetables,21
118,35406,15/04/23,Dairy Products,21
119,35406,24/10/22,Vegetables,21
120,35406,12/02/23,Non-Alcoholic Beverages,21
121,15953,24/02/23,Fruits,40
122,15953,23/01/23,Dairy Products,40
123,15953,18/11/23,Snacks/Sweets,40
124,15953,13/03/23,Vegetables,40
125,15953,29/03/22,Dairy Products,40
126,15953,28/12/22,Cooking Ingredients,40
127,15953,24/02/23,Pastries,40
128,15953,23/01/23,Dairy Products,40
129,15953,18/11/23,Pastries,40
130,15953,13/03/23,Dairy Products,40
131,15953,29/03/22,Household and Cleaning Products,40
132,15953,28/12/22,Pastries,40
133,15953,13/03/23,Pastries,40
134,15953,24/02/23,Pastries,40
135,21924,14/04/23,Meat Products,59
136,21924,08/04/23,Vegetables,59
137,21924,03/09/23,Meat Products,59
138,21924,07/01/23,Pastries,59
139,21924,30/09/23,Fruits,59
140,21924,14/04/23,Alcoholic Beverages,59
141,21924,08/10/22,Vegetables,59
142,21924,26/11/22,Vegetables,59
143,21924,05/01/22,Dairy Products,59
144,21924,12/04/22,Meat Products,59
145,21924,23/10/22,Alcoholic Beverages,59
146,21924,11/09/22,Fruits,59
147,21924,14/04/23,Snacks/Sweets,59
148,21924,08/04/23,Dairy Products,59
149,21924,03/09/23,Non-Alcoholic Beverages,59
150,21924,07/01/23,Alcoholic Beverages,59
151,21924,30/09/23,Dairy Products,59
152,21924,14/04/23,Dairy Products,59
153,21924,08/10/22,Pastries,59
154,21924,26/11/22,Snacks/Sweets,59
155,21924,05/01/22,Alcoholic Beverages,59
156,21924,12/04/22,Snacks/Sweets,59
157,21924,23/10/22,Pastries,59
158,21924,11/09/22,Household and Cleaning Products,59
159,21924,26/11/22,Snacks/Sweets,59
160,21924,07/01/23,Dairy Products,59
161,21924,14/04/23,Dairy Products,59
